Area Code	Cogs	Difference Between Actual and Target Profit	Date	Inventory	Margin	Market Size	Market	Marketing	记录数	Product Line	Product Type	Product	Profit	Sales	State	Target COGS	Target Margin	Target Profit	Target Sales	Total Expenses	Type
303	51	-35	2012-10-01 00:00:00.000	503	71	"Major Market"	"Central"	46	1	"Leaves"	"Herbal Tea"	"Lemon"	-5	122	"Colorado"	30	60	30	90	76	"Decaf"
970	52	-24	2012-10-01 00:00:00.000	405	71	"Major Market"	"Central"	17	1	"Leaves"	"Herbal Tea"	"Mint"	26	123	"Colorado"	30	60	50	90	45	"Decaf"
409	43	-22	2012-10-01 00:00:00.000	419	64	"Major Market"	"South"	13	1	"Leaves"	"Herbal Tea"	"Lemon"	28	107	"Texas"	30	60	50	90	36	"Decaf"
850	38	-15	2012-10-01 00:00:00.000	871	56	"Major Market"	"East"	10	1	"Leaves"	"Tea"	"Darjeeling"	35	94	"Florida"	40	60	50	100	21	"Regular"
562	72	6	2012-10-01 00:00:00.000	650	110	"Major Market"	"West"	23	1	"Leaves"	"Tea"	"Green Tea"	56	182	"California"	20	60	50	80	54	"Regular"
712	0	-29	2012-10-01 00:00:00.000	430	43	"Small Market"	"Central"	0	1	"Beans"	"Espresso"	"Decaf Espresso"	31	43	"Iowa"	0	60	60	60	12	"Decaf"
860	47	-29	2012-10-01 00:00:00.000	375	64	"Small Market"	"East"	15	1	"Beans"	"Espresso"	"Decaf Espresso"	21	111	"Connecticut"	30	60	50	90	43	"Decaf"
918	27	-39	2012-10-01 00:00:00.000	859	39	"Small Market"	"South"	7	1	"Beans"	"Coffee"	"Decaf Irish Cream"	21	66	"Oklahoma"	30	60	60	90	18	"Decaf"
775	31	-43	2012-10-01 00:00:00.000	1000	37	"Small Market"	"West"	9	1	"Beans"	"Coffee"	"Decaf Irish Cream"	7	68	"Nevada"	30	60	50	90	30	"Decaf"
435	40	-23	2012-10-01 00:00:00.000	881	59	"Small Market"	"West"	11	1	"Beans"	"Espresso"	"Decaf Espresso"	37	99	"Utah"	20	60	60	80	22	"Decaf"
603	49	-27	2012-10-01 00:00:00.000	310	71	"Small Market"	"East"	15	1	"Beans"	"Coffee"	"Amaretto"	33	120	"New Hampshire"	30	60	60	90	38	"Regular"
603	45	-26	2012-10-01 00:00:00.000	447	69	"Small Market"	"East"	14	1	"Beans"	"Coffee"	"Colombian"	24	114	"New Hampshire"	30	60	50	90	45	"Regular"
603	45	-37	2012-10-01 00:00:00.000	320	64	"Small Market"	"East"	41	1	"Beans"	"Espresso"	"Caffe Mocha"	-7	109	"New Hampshire"	30	60	30	90	71	"Regular"
318	60	-9	2012-10-01 00:00:00.000	-762	84	"Small Market"	"South"	54	1	"Beans"	"Espresso"	"Caffe Latte"	1	144	"Louisiana"	30	60	10	90	83	"Regular"
775	34	-32	2012-10-01 00:00:00.000	240	43	"Small Market"	"West"	12	1	"Beans"	"Coffee"	"Colombian"	-2	77	"Nevada"	40	60	30	100	45	"Regular"
503	54	-28	2012-10-01 00:00:00.000	404	66	"Small Market"	"West"	20	1	"Beans"	"Espresso"	"Caffe Latte"	12	120	"Oregon"	40	60	40	100	54	"Regular"
573	45	-36	2012-10-01 00:00:00.000	320	64	"Small Market"	"Central"	41	1	"Leaves"	"Herbal Tea"	"Chamomile"	-6	109	"Missouri"	20	60	30	80	70	"Decaf"
262	48	-15	2012-10-01 00:00:00.000	851	70	"Small Market"	"Central"	13	1	"Leaves"	"Herbal Tea"	"Lemon"	45	118	"Wisconsin"	30	60	60	90	25	"Decaf"
801	49	-27	2012-10-01 00:00:00.000	310	71	"Small Market"	"West"	15	1	"Leaves"	"Herbal Tea"	"Chamomile"	33	120	"Utah"	30	60	60	90	38	"Decaf"
425	48	-13	2012-10-01 00:00:00.000	829	71	"Small Market"	"West"	13	1	"Leaves"	"Herbal Tea"	"Lemon"	47	119	"Washington"	30	60	60	90	24	"Decaf"
860	40	-14	2012-10-01 00:00:00.000	881	59	"Small Market"	"East"	11	1	"Leaves"	"Tea"	"Darjeeling"	36	99	"Connecticut"	40	60	50	100	23	"Regular"
971	82	14	2012-10-01 00:00:00.000	788	123	"Small Market"	"West"	27	1	"Leaves"	"Tea"	"Earl Grey"	64	205	"Oregon"	30	60	50	90	59	"Regular"
971	91	26	2012-10-01 00:00:00.000	656	127	"Small Market"	"West"	28	1	"Leaves"	"Tea"	"Green Tea"	76	218	"Oregon"	40	60	50	100	51	"Regular"
915	40	-14	2012-11-01 00:00:00.000	536	52	"Major Market"	"South"	13	1	"Beans"	"Coffee"	"Decaf Irish Cream"	26	92	"Texas"	40	60	40	100	26	"Decaf"
210	50	8	2012-11-01 00:00:00.000	589	73	"Major Market"	"South"	14	1	"Beans"	"Espresso"	"Decaf Espresso"	48	123	"Texas"	30	60	40	90	25	"Decaf"
970	40	-13	2012-11-01 00:00:00.000	536	52	"Major Market"	"Central"	13	1	"Beans"	"Coffee"	"Colombian"	27	92	"Colorado"	30	60	40	90	25	"Regular"
774	52	-8	2012-11-01 00:00:00.000	554	68	"Major Market"	"East"	47	1	"Beans"	"Espresso"	"Caffe Mocha"	-8	120	"Massachusetts"	50	60	0	110	76	"Regular"
954	75	14	2012-11-01 00:00:00.000	1063	89	"Major Market"	"East"	23	1	"Leaves"	"Herbal Tea"	"Mint"	44	164	"Florida"	50	60	30	110	45	"Decaf"
936	46	1	2012-11-01 00:00:00.000	424	68	"Major Market"	"South"	14	1	"Leaves"	"Herbal Tea"	"Lemon"	31	114	"Texas"	40	60	30	100	37	"Decaf"
719	55	-5	2012-11-01 00:00:00.000	410	69	"Major Market"	"Central"	20	1	"Leaves"	"Tea"	"Darjeeling"	15	124	"Colorado"	40	60	20	100	54	"Regular"
847	50	8	2012-11-01 00:00:00.000	589	73	"Major Market"	"Central"	14	1	"Leaves"	"Tea"	"Darjeeling"	48	123	"Illinois"	40	60	40	100	25	"Regular"
719	57	-1	2012-11-01 00:00:00.000	1042	68	"Major Market"	"Central"	17	1	"Leaves"	"Tea"	"Earl Grey"	29	125	"Colorado"	40	60	30	100	39	"Regular"
339	36	-9	2012-11-01 00:00:00.000	862	52	"Major Market"	"East"	10	1	"Leaves"	"Tea"	"Darjeeling"	31	88	"Massachusetts"	30	60	40	90	21	"Regular"
314	33	-23	2012-11-01 00:00:00.000	836	48	"Small Market"	"Central"	9	1	"Beans"	"Espresso"	"Decaf Espresso"	27	81	"Missouri"	40	60	50	100	21	"Decaf"
